"raw_character_text","spoken_words"
"Phoebe:"," (singing) Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart.  La-la-la-la-la- (some guy gives her some change and to that guy) Thank you. (sings) La-la-la-la...ohhh!
"
"Ross:"," (squatting and reading the instructions) I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.
"
"Joey:"," I'm thinking we've got a bookcase here.
"
"Chandler:"," It's a beautiful thing.
"
"Joey:"," (picking up a leftover part) What's this?
"
"Chandler:"," I would have to say that is an 'L'-shaped bracket.
"
"Joey:"," Which goes where?
"
"Chandler:"," I have no idea.
"
"Joey:"," Done with the bookcase!
"
"Chandler:"," All finished!
"
"Ross:"," (clutching a beer can and sniffing) This was Carol's favorite beer. She always drank it out of the can, I should have known.
"
"Joey:"," Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.
"
"Chandler:"," Yes, please don't spoil all this fun.
"
"Joey:"," Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?
"
"Ross:"," You guys.
"
"Chandler:"," Oh, God.
"
"Joey:"," You got screwed.
"
"Chandler:"," Oh my God!
"
"Monica:"," Oh my God!
"
"Monica:"," My brother's going through that right now, he's such a mess. How did you get through it?
"
"Monica:"," -leg?
"
"Monica:"," You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.
"
"Monica:"," That's right. [Scene: Monica's Apartment, Rachel is talking on the phone and pacing.]
"
"Rachel:"," Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking and dials the phone.) Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me.  And not that I have any idea who me is right now, but you just have to give me a chance too... (The maching cuts her off again and she redials.)
"
"Ross:"," I'm divorced!  I'm only 26 and I'm divorced!
"
"Joey:"," Shut up!
"
"Chandler:"," You must stop! (Chandler hits what he is working on with a hammer and it collapses.)
"
"Ross:"," That only took me an hour.
"
"Chandler:"," Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento.   You, however have had the love of a woman for four years.   Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it!  I don't think that was my point!
"
"Ross:"," You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...
"
"Joey:"," What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!
"
"Ross:"," I honestly don't know if I'm hungry or horny.
"
"Chandler:"," Stay out of my freezer! [Scene: A Restaurant, Monica and Paul are still eating.]
"
"Monica:"," What?..... What, you wanna spell it out with noodles?
"
"Monica:"," Oh, so there is gonna be a fifth date?
"
"Monica:"," Yeah... yeah, I think there is. -What were you gonna say?
"
"Monica:"," (spitting out her drink in shock) Oh God, oh God, I am sorry... I am so sorry...
"
"Monica:"," I know being spit on is probably not what you need right now. Um... how long?
"
"Monica:"," Wow! I'm-I'm-I'm glad you smashed her watch!
"
"Monica:"," (pause)...Yeah. Yeah, I do.
"
"Rachel:"," Oh...see... but Joanne loved Chachi! That's the difference!
"
"Ross:"," (scornful) Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?
"
"Joey:"," Great story!  But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, (looks to Chandler)
"
"Chandler:"," Angela's the screamer, Andrea has cats.
"
"Joey:"," Right.  Thanks.  It's June.  I'm outta here. (Exits.)
"
"Ross:"," Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask? (He gazes out of the window.)
"
"Rachel:"," Isn't this amazing? I mean, I have never made coffee before in my entire life.
"
"Chandler:"," That is amazing.
"
"Joey:"," Congratulations.
"
"Rachel:"," Y'know, I figure if I can make coffee, there isn't anything I can't do.
"
"Chandler:"," If can invade Poland, there isn't anything I can't do.
"
"Joey:"," Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... (Joey and Chandler taste the coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that hungry...
"
"Monica:"," (entering, to herself) Oh good, Lenny and Squigy are here.
"
"Joey:"," Morning, Paul.
"
"Rachel:"," Hello, Paul.
"
"Chandler:"," Hi, Paul, is it?
"
"Monica:"," Stop!
"
"Monica:"," We'll talk later.
"
"Joey:"," That wasn't a real date?! What the hell do you do on a real date?
"
"Monica:"," Shut up, and put my table back.
"
"Chandler:"," All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...
"
"Rachel:"," So, like, you guys all have jobs?
"
"Monica:"," Yeah, we all have jobs. See, that's how we buy stuff.
"
"Joey:"," Yeah, I'm an actor.
"
"Rachel:"," Wow! Would I have seen you in anything?
"
"Joey:"," I doubt it. Mostly regional work.
"
"Monica:"," Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.
"
"Joey:"," Look, it was a job all right?
"
"Chandler:"," 'Look, Gippetto, I'm a real live boy.'
"
"Joey:"," I will not take this abuse. (Walks to the door and opens it to leave.)
"
"Chandler:"," You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy...""
"
"Joey:"," You should both know, that he's a dead man.  Oh, Chandler? (Starts after Chandler.)
"
"Monica:"," So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
"
"Rachel:"," I can see that. You look like you slept with a hanger in your mouth.
"
"Monica:"," I know, he's just so, so... Do you remember you and Tony DeMarco?
"
"Rachel:"," Oh, yeah.
"
"Monica:"," Well, it's like that. With feelings.
"
"Rachel:"," Oh wow. Are you in trouble.
"
"Monica:"," Big time!
"
"Rachel:"," Want a wedding dress?   Hardly used.
"
"Monica:"," I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.
"
"Rachel:"," Oh, look, wish me luck!
"
"Monica:"," What for?
"
"Rachel:"," I'm gonna go get one of those (Thinks) job things.
"
"Monica:"," Hey Frannie, welcome back! How was Florida?
"
"Monica:"," How do you do that?
"
"Monica:"," You know Paul?
"
"Monica:"," You mean you know Paul like I know Paul?
"
"Joey:"," (sitting on the arm of the couch)Of course it was a line!
"
"Monica:"," Why?! Why? Why, why would anybody do something like that?
"
"Ross:"," I assume we're looking for an answer more sophisticated than 'to get you into bed'.
"
"Monica:"," I hate men!  I hate men!
"
"Phoebe:"," Oh no, don't hate, you don't want to put that out into the universe.
"
"Monica:"," Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
"
"Phoebe:"," All right, c'mere, gimme your feet. (She starts massaging them.)
"
"Monica:"," I just thought he was nice, y'know?
"
"Joey:"," (bursts out laughing again) I can't believe you didn't know it was a line!
"
"Rachel:"," Guess what?
"
"Ross:"," You got a job?
"
"Rachel:"," Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
"
"Chandler:"," And yet you're surprisingly upbeat.
"
"Rachel:"," You would be too if you found John and David boots on sale, fifty percent off!
"
"Chandler:"," Oh, how well you know me...
"
"Rachel:"," They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!
"
"Monica:"," How'd you pay for them?
"
"Rachel:"," Uh, credit card.
"
"Monica:"," And who pays for that?
"
"Rachel:"," Um... my... father.
"
"Rachel:"," Oh God, come on you guys, is this really necessary?  I mean, I can stop charging anytime I want.
"
"Monica:"," C'mon, you can't live off your parents your whole life.
"
"Rachel:"," I know that. That's why I was getting married.
"
"Phoebe:"," Give her a break, it's hard being on your own for the first time.
"
"Rachel:"," Thank you.
"
"Phoebe:"," You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.
"
"Ross:"," The word you're looking for is 'Anyway'...
"
"Monica:"," All right, you ready?
"
"Rachel:"," No.  No, no, I'm not ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the airplane without your parachute?""  Come on, I can't do this!
"
"Monica:"," You can, I know you can!
"
"Rachel:"," I don't think so.
"
"Ross:"," Come on, you made coffee!   You can do anything! (Chandler slowly tries to hide the now dead plant from that morning when he and Joey poured their coffee into it.)
"
"Ross:"," C'mon, cut. Cut, cut, cut,...
"
"Rachel:"," Y'know what?  I think we can just leave it at that.  It's kinda like a symbolic gesture...
"
"Monica:","  Rachel!  That was a library card!
"
"Chandler:"," (as Rachel is cutting up her cards) Y'know, if you listen closely, you can hear a thousand retailers scream.
"
"Monica:"," Welcome to the real world! It sucks. You're gonna love it!
"
"Monica:"," Well, that's it (To Ross) You gonna crash on the couch?
"
"Ross:"," No. No, I gotta go home sometime.
"
"Monica:"," You be okay?
"
"Ross:"," Yeah.
"
"Rachel:"," Hey Mon, look what I just found on the floor. (Monica smiles.) What?
"
"Monica:"," That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.
"
"Ross:"," Mmm. (They both reach for the last cookie) Oh, no-
"
"Rachel:"," Sorry-
"
"Ross:"," No no no, go-
"
"Rachel:"," No, you have it, really, I don't want it-
"
"Ross:"," Split it?
"
"Rachel:"," Okay.
"
"Ross:"," Okay. (They split it.) You know you probably didn't know this, but back in high school, I had a, um, major crush on you.
"
"Rachel:"," I knew.
"
"Ross:"," You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
"
"Rachel:"," I did.
"
"Ross:"," Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?
"
"Rachel:"," Yeah, maybe...
"
"Ross:"," Okay... okay, maybe I will...
"
"Rachel:"," Goodnight.
"
"Ross:"," Goodnight.
"
"Monica:"," See ya.... Waitwait, what's with you?
"
"Ross:"," I just grabbed a spoon. (Ross exits and Monica has no idea what that means.)
"
"Joey:"," I can't believe what I'm hearing here.
"
"Phoebe:"," (sings) I can't believe what I'm hearing here...
"
"Monica:"," What? I-I said you had a-
"
"Phoebe:"," (sings) What I said you had...
"
"Monica:"," (to Phoebe) Would you stop?
"
"Phoebe:"," Oh, was I doing it again?
"
"Monica:"," I said that you had a nice butt, it's just not a great butt.
"
"Joey:"," Oh, you wouldn't know a great butt if it came up and bit ya.
"
"Ross:"," There's an image.
"
"Rachel:"," (walks up with a pot of coffee) Would anybody like more coffee?
"
"Chandler:"," Did you make it, or are you just serving it?
"
"Rachel:"," I'm just serving it.
"
"Chandler:"," Kids, new dream... I'm in Las Vegas. (Rachel sits down to hear Chandler's dream.)
"
"Rachel:"," Ugh. (To another customer that's leaving.) Excuse me, could you give this to that guy over there? (Hands him the coffee pot.) Go ahead. (He does so.) Thank you. (To the gang.) Sorry.  Okay, Las Vegas.
"
"Chandler:"," Okay, so, I'm in Las Vegas... I'm Liza Minelli-
"
"Monica:"," What you guys don't understand is, for us, kissing is as important as any part of it.
"
"Joey:"," Yeah, right!.......Y'serious?
"
"Phoebe:"," Oh, yeah!
"
"Rachel:"," Everything you need to know is in that first kiss.
"
"Monica:"," Absolutely.
"
"Chandler:"," Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.
"
"Ross:"," Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.
"
"Chandler:"," The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.
"
"Rachel:"," Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.
"
"Joey:"," (pause)....Are we still talking about sex?
"
"Ross:"," No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?
"
"Ross:"," Does she.
"
"Ross:"," Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?
"
"Ross:"," (trying to ignore her) No. No.
"
"Ross:"," Okay, okay, yes, it is. (waves) How about I'll, uh, catch up with you in the Ice Age.
"
"Ross:","Hi.
"
"Ross:"," You look great. I, uh... I hate that.
"
"Ross:"," Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...
"
"Ross:"," Well... you never know. How's, um.. how's the family?
"
"Ross:"," Why- why are you here, Carol?
"
"Ross:"," Pregnant?!
"
"Chandler:"," Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.
"
"Phoebe:","...Then I've already seen this one! (Turns off the TV.)
"
"Monica:"," (taking a drink from Joey) Are you through with that?
"
"Joey:"," Yeah, sorry, the swallowing slowed me down.
"
"Monica:"," Whose little ball of paper is this?!
"
"Chandler:"," Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him) ...now I wish I was dead.
"
"Phoebe:"," She's already fluffed that pillow... Monica, you know, you've already fluffed that- (Monica glares at her.) -but, it's fine!
"
"Monica:"," Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have.
"
"Chandler:"," Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.
"
"Phoebe:"," Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way.
"
"Joey:"," Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come.
"
"Monica:"," That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born.
"
"Chandler:"," (looking out the window) Ew, ew, ew, ew ew ew ew ew!
"
"Monica:"," What?
"
"Chandler:"," Ugly Naked Guy got a Thighmaster!
"
"Rachel:"," Has anybody seen my engagement ring?
"
"Phoebe:"," Yeah, it's beautiful.
"
"Rachel:"," Oh God, oh God, oh God oh God oh God oh God.... (Starts to look under the couch cushions.)
"
"Phoebe:"," No, look, don't touch that!
"
"Rachel:"," Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder...
"
"Monica:"," Easy Rach, we'll find it. (To all) Won't we!
"
"Joey:"," Alright, when'd'ya have it on last?
"
"Phoebe:"," Doy! Probably right before she lost it!
"
"Chandler:"," You don't get a lot of 'doy' these days...
"
"Rachel:"," I know I had it this morning, and I know I had it when I was in the kitchen with...
"
"Chandler:"," ...Dinah?
"
"Rachel:"," (looks at the lasagne and realizes something) Ohhhhh, don't be mad...
"
"Monica:"," You didn't.
"
"Rachel:"," Oh, I am sorry...
"
"Monica:"," I gave you one job! (Starts to examin the lasagne through the bottom of the glass pan.)
"
"Rachel:"," Oh, but look how straight those noodles are!
"
"Chandler:"," Now, Monica, you know that's not how you look for an engagement ring in a lasagne...
"
"Monica:"," (puts down the lasagne) I just... can't do it.
"
"Chandler:"," Boys? We're going in.
"
"Ross:"," (standing outside the door).....Hi.
"
"Monica:"," Wow. That is not a happy hi.
"
"Ross:"," Carol's pregnant.
"
"Phoebe:"," (while everyone else is stunned) Ooh! I found it!
"
"Monica:"," W-w-wh-... wha-... w-w-w-...
"
"Ross:"," Yeah. Do that for another two hours, you might be where I am right about now. (He enters.)
"
"Chandler:"," Kinda puts that whole pillow thing in perspective, huh, Mon?
"
"Rachel:"," Well now, how-how do you fit into this whole thing?
"
"Ross:"," Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me.
"
"Phoebe:"," She is so great! I miss her.
"
"Monica:"," What does she mean by 'involved'?
"
"Chandler:"," I mean presumably, the biggest part of your job is done.
"
"Ross:"," Anyway, they want me to go down to this- sonogram thing with them tomorrow.
"
"Rachel:"," So what are you gonna do?
"
"Ross:"," I have no idea. No matter what I do, though, I'm still gonna be a father.
"
"Joey:"," .....Well, this is still ruined, right?
"
"Monica:"," Curry.
"
"Ross:"," I- I think they're great! I, I really do.
"
"Ross:"," Aw, Mom...
"
"Monica:"," I'm sorry, why is this girl going to call me?
"
"Monica:"," No Mom, I don't have a restaurant, I work in a restaurant.
"
"Monica:"," Ross, could you come and help me with the spaghetti, please?
"
"Ross:"," Yeah. (They go to the kitchen.)
"
"Monica:"," I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me.
"
"Monica:"," What's that supposed to mean?
"
"Monica:"," No it's not.
"
"Monica:"," (trying desperately to change the subject) So, Ross, what's going on with you? Any stories? (Digs her elbow into his hand.) No news, no little anecdotes to share with the folks?
"
"Ross:"," (pulls his hand away) Okay! Okay. (To his parents) Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby.
"
"Joey:"," Your folks are really that bad, huh?
"
"Ross:"," Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done.
"
"Monica:"," Boy, I know they say you can't change your parents,... boy, if you could- (To Ross) -I'd want yours.
"
"Ross:"," Must pee. (Goes to pee.)
"
"Phoebe:"," Y'know, it's even worse when you're twins.
"
"Rachel:"," You're twins?
"
"Phoebe:"," Yeah. We don't speak. She's like this high-powered, driven career type.
"
"Chandler:"," What does she do?
"
"Phoebe:"," She's a waitress.
"
"Rachel:"," All right, you guys, I kinda gotta clean up now. (They all start to leave.)
"
"Monica:"," Chandler, you're an only child, right? You don't have any of this.
"
"Chandler:"," Well, no, although I did have an imaginary friend, who... my parents actually preferred.
"
"Rachel:"," The lights, please..
"
"Ross:"," ...How long was I in there?
"
"Rachel:"," I'm just cleaning up.
"
"Ross:"," D'ya.. uh.. d'ya need any help?
"
"Rachel:"," Uh.. okay, sure! Thanks! (She hands him the broom and sits down.)
"
"Ross:"," Anyway.. um.. (Starts to sweep.) So, you- uh- you nervous about Barry tomorrow?
"
"Rachel:"," Oh.. a little..
"
"Ross:"," Mm-hmm..
"
"Rachel:"," A lot.
"
"Ross:"," Mm.
"
"Rachel:"," So, got any advice? Y'know, as someone who's recently been- dumped?
"
"Ross:"," Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN...
"
"Rachel:"," Oh, you've got Carol tomorrow.. When did it get so complicated?
"
"Ross:"," Got me.
"
"Rachel:"," Remember when we were in high school together?
"
"Ross:"," Yeah.
"
"Rachel:"," I mean, didn't you think you were just gonna meet somone, fall in love- and that'd be it? (Ross gazes at her.) ..Ross?
"
"Ross:"," Yes, yes!
"
"Rachel:"," Oh! Man, I never thought I'd be here.. (She leans back onto his hand.)
"
"Ross:"," Me either... (He pulls up a stool so that he doesn't have to move his hand.)
"
"Ross:"," (entering) Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.
"
"Ross:"," How could I forget?
"
"Ross:"," (they shake hands) Hello, Susan. (To Carol) Good shake. Good shake. So, uh, we're just waiting for...?
"
"Ross:"," ..Dr. Oberman. Okay. And is he-
"
"Ross:"," -she, of course, she- uh- familiar with our.. special situation?
"
"Ross:"," Okay, that's great. (Susan gives her drink to Carol.) No, I'm- Oh. 
"
"Ross:"," (picks up a surgical instrament and mimes a duck with it) Quack, quack..
"
"Rachel:"," Barry?
"
"Rachel:"," (hesitates) Are you sure?
"
"Rachel:"," I'm- uh- I'm okay... You look great!
"
"Rachel:"," I dumped him.
"
"Ross:"," So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?
"
"Ross:"," Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?
"
